,ContinentCode,country_code,country_name,Continent
171,EU,SRB,Serbia,Europe
172,AF,STP,Sao Tome and Principe,Africa
173,SA,SUR,Suriname,South America
174,EU,SVK,Slovakia,Europe
175,EU,SVN,Slovenia,Europe
176,EU,SWE,Sweden,Europe
177,AF,SWZ,Swaziland,Africa
178,AF,SYC,Seychelles,Africa
179,AS,SYR,Syria,Asia
180,AF,TCD,Chad,Africa
181,AF,TGO,Togo,Africa
182,AS,THA,Thailand,Asia
183,AS,TJK,Tajikistan,Asia
184,AS,TKM,Turkmenistan,Asia
185,RW,TLS,Timor-Leste,Rest of World
186,OC,TON,Tonga,Oceania
187,NA,TTO,Trinidad and Tobago,North America
188,AF,TUN,Tunisia,Africa
189,EU,TUR,Turkey,Europe
190,OC,TUV,Tuvalu,Oceania
191,AS,TWN,Taiwan,Asia
192,AF,TZA,Tanzania,Africa
193,AF,UGA,Uganda,Africa
194,EU,UKR,Ukraine,Europe
195,SA,URY,Uruguay,South America
196,NA,USA,USA,North America
197,AS,UZB,Uzbekistan,Asia
198,EU,VAT,Holy See (Vatican City),Europe
199,NA,VCT,Saint Vincent and the Grenadines,North America
200,SA,VEN,Venezuela,South America
201,AS,VNM,Vietnam,Asia
202,OC,VUT,Vanuatu,Oceania
204,OC,WSM,Samoa,Oceania
205,EU,XC,Euro area,Europe
206,AS,YEM,Yemen,Asia
207,AF,ZAF,South Africa,Africa
208,AF,ZMB,Zambia,Africa
209,AF,ZWE,Zimbabwe,Africa
